2000 3
642 27 1377
590 1293 1991
1441 1609 1281
966 770 429
383 1101 919
217 420 1954
917 835 664
1261 1749 1832
736 1532 1739
1235 1464 977
829 106 1357
207 1048 1002
550 489 963
183 1807 1733
965 543 1186
1884 760 1606
1838 29 793
854 1290 542
1038 378 75
778 1965 1539
107 795 1997
1464 1354 1045
818 256 1534
1781 440 1341
1866 1405 1884
1052 1641 996
658 1480 1026
1452 686 668
346 77 1399
773 1207 1364
664 1314 511
661 1131 1865
58 1949 122
1944 83 914
1638 1949 671
1874 1002 312
871 12 144
249 1816 831
1269 163 908
668 1288 467
385 1953 1781
896 966 1264
762 1025 1566
1236 1321 1649
502 959 1598
1173 834 952
1485 57 1317
1630 658 1133
813 1927 1648
73 948 937
540 1333 1242
321 229 208
1938 1343 1585
1504 579 907
1153 1081 218
1103 606 1052
408 92 1461
1725 74 119
858 887 47
507 960 1347
1796 1852 680
1038 525 1261
1598 463 605
1184 1967 1536
443 1472 970
661 576 1576
66 984 1668
1527 709 1742
1647 1919 981
46 778 293
1393 574 145
425 1964 671
1686 1563 1134
643 1099 1454
180 1894 926
1150 907 1502
726 973 838
747 853 1899
841 500 1819
1823 898 597
116 643 1524
262 1068 1488
1285 1106 1051
771 1750 502
225 1930 396
1152 1432 1304
1006 158 629
1845 1257 1482
1744 99 334
1915 1922 1232
513 390 1875
37 1004 1295
1525 289 754
929 1061 504
1783 1638 786
532 790 570
188 149 1080
817 346 338
652 442 437
986 358 711
571 871 1101
798 1260 458
446 1137 747
1200 418 160
56 554 1799
1194 1086 941
1764 1274 1442
844 443 1788
1182 1447 231
1971 786 941
682 1357 164
136 507 1424
594 953 913
1693 505 1684
1854 561 238
5 1755 1324
1298 1519 950
741 364 1745
881 1898 1193
1112 1870 1979
53 552 1688
217 1040 547
1993 1634 1501
1259 1328 358
943 1534 920
1181 1539 1027
857 837 899
1807 1930 1615
1904 812 1513
1097 276 1735
1428 330 640
1468 899 1680
16 1245 1667
1869 504 995
227 1799 529
1499 980 420
527 1837 1609
1778 1996 1540
